stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
vcp_shape,"{""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.6, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.2}",-0.263,-0.0232,-0.349,-0.2891,-0.163,72,0.2083,-0.307,0.493,0.1221,72,9.8
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.0409,0.0031,0.083,-0.3651,0.025,201,0.3035,0.017,1.024,0.384,201,13.3
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",-0.3292,-0.0303,-0.366,-0.3693,-0.204,124,0.2661,-0.25,0.572,0.2217,124,10.2
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.85}",1.6493,0.0779,0.62,-0.2843,1.022,263,0.384,0.289,1.527,0.5471,263,12.4
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.85}",-0.1757,-0.0148,-0.102,-0.3647,-0.109,181,0.2762,-0.06,0.869,0.3448,181,8.4
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.2}",0.8783,0.0497,0.417,-0.3517,0.544,332,0.3464,0.185,1.266,0.6464,332,10.8
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.08, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.2}",-0.2323,-0.0201,-0.123,-0.49,-0.144,237,0.2827,-0.077,0.867,0.4488,237,8.8
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",-0.0118,-0.0009,0.054,-0.3379,-0.007,227,0.304,-0.006,0.993,0.4342,227,11.1
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",-0.3539,-0.0331,-0.401,-0.3929,-0.219,128,0.2656,-0.262,0.552,0.2254,128,9.0
vcp_shape,"{""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0",IS,"{""exit.breakeven_at_R"": 0.0, ""exit.target_R"": 0.0, ""exit.trail_ma"": 50, ""risk.max_positions"": 5, ""risk.max_weight"": 0.25, ""risk.risk_per_trade"": 0.02, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.12, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.85}",1.5714,0.0754,0.563,-0.2611,0.974,293,0.3584,0.226,1.406,0.5781,293,12.2
