n_trades,win_rate,profit_factor,expectancy_pct,avg_win_pct,avg_loss_pct,total_return_pct,ann_return_pct,max_dd_pct,sharpe,avg_bars_held,score,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,max_retrace_atr,market_filter,in_play_filter,in_play_gain_adr,in_play_relvol,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,intrabar,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
46,47.82608695652174,0.6099715539345713,-0.09035167239687257,0.2954504433236871,-0.44400361180738557,-7.509277716006613,-69.49228478820434,-8.4551799369127,-8.06274128589322,4.891304347826087,-33.736867684462965,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,1.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
45,35.55555555555556,0.5958153353579141,-0.0847183931721931,0.35123847795548097,-0.32524632207022025,-7.543364254997531,-69.66282992593452,-8.960291986233749,-5.103271110265643,4.688888888888889,-34.523510248114405,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,3.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
46,45.65217391304348,0.5998682228149381,-0.08163989597198729,0.2680981350686689,-0.37541984204613854,-7.543514512415827,-69.66357973296968,-7.608106552002929,-7.475752387550066,3.347826086956522,-33.347567788417294,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,1.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
68,33.8235294117647,0.8578103258423244,-0.0527015715732603,0.9400000000000002,-0.5600823748218157,-7.552840893828727,-68.22788542321607,-12.041984717294513,-2.273530493283417,19.441176470588236,-33.573833252475985,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
41,48.78048780487805,0.6532621595880499,-0.09462631785386853,0.36547027863288706,-0.5328135526031594,-7.653235053124607,-70.20650344271752,-8.23174746604375,-5.5313208104299285,12.609756097560975,-36.26910878614648,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,1.5,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
207,29.468599033816425,0.9600643321865151,-0.010174001236392088,0.8299877462998351,-0.36120048479604866,-8.103322238294252,-70.88094731915855,-18.02896136493746,-1.792002850873807,19.884057971014492,-37.11780292076298,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
46,34.78260869565217,0.5741860212971487,-0.09080193910964648,0.3520186499489588,-0.32697291994090266,-8.215375136581148,-72.84856451930557,-8.794093315672969,-6.141270935415765,4.195652173913044,-34.61242179441763,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
67,22.388059701492537,0.9028054805681177,-0.03819812203679886,1.5848127832000758,-0.506374344701282,-8.622963384298622,-73.19466637703624,-15.453404904510323,-2.4793872548597453,26.044776119402986,-36.34966583655378,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,3.0,1.0,none,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
43,48.83720930232558,0.6109796409658736,-0.10659820789631248,0.3428099927776823,-0.5355787630851256,-8.93140168867591,-75.89734312675033,-8.987549844484109,-7.110868760256641,11.279069767441861,-36.925176610917966,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,pct,1.0,0.5,1.5,rr,1.0,1.0,pct,1.5,0.4,1.0,575,690,955,pessimistic,risk,1.0,2.0,4
154,37.66233766233766,0.8823185041457494,-0.021327057000881427,0.42456174956718584,-0.29071821096908873,-9.33711692206204,-76.0959729120105,-12.198514661374547,-4.3556371819993,5.915584415584416,-35.43637425274932,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,99.0,False,True,0.3,1.2,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,pessimistic,risk,1.0,2.0,4
