,adr_pct,gap_pct,volvol,dollar_vol_m,price,n_trades,sum_ret,avg_ret,win
CRWD,4.954078710492664,1.1261476529130663,0.44153951517908646,2070.444572578186,223.15499877929688,4,-1.0287679791371216,-0.2571919947842804,False
TER,6.939735748008561,3.341869020696121,0.5898024368819602,1650.6159554895921,381.2099914550781,2,-0.6112522328264646,-0.3056261164132323,False
ABBV,2.420141114420794,0.6528521660658763,0.9268951196924813,1613.0532856901805,248.32000732421875,4,-0.26494179991057354,-0.06623544997764338,False
SMCI,7.24250693399983,2.558637088169179,0.759163334744173,1743.1097416470882,31.760000228881836,2,-1.6937522825904376,-0.8468761412952188,False
ADBE,3.8895318309111735,1.7366132078351864,0.5660959654533496,1489.2639831856864,267.82000732421875,3,-0.061088441558579676,-0.02036281385285989,False
KO,1.8287382097110758,0.6601336805711311,0.45285911095164433,1471.5948980181352,86.20989990234375,3,-0.45291380163295397,-0.15097126721098467,False
SNOW,5.174670457836483,1.9186233880949546,0.8050476209925022,1872.4883877803427,336.81500244140625,1,-0.3797442100045444,-0.3797442100045444,False
UBER,3.172291254971022,0.7680449020793597,0.48508673573794114,1488.0846389984638,78.78079986572266,2,-0.8034607735713204,-0.4017303867856602,False
HD,2.417555429162603,0.7737489765183221,0.353451881812439,1526.818804690773,355.4649963378906,1,-0.1473525524056877,-0.1473525524056877,False
MPWR,5.483544997620548,2.79260951335972,0.5070329320533206,1354.5257140617878,1403.8399658203125,4,-2.9615723356560846,-0.7403930839140211,False
ANET,5.065508235754079,1.9055403721549833,0.33558569647331893,1422.6439617254796,197.04989624023438,4,-0.4654492917629999,-0.11636232294074997,False
ASTS,9.170627004635728,2.798191956643935,0.5285532653879511,1777.107545442336,69.55000305175781,2,1.2887423353558825,0.6443711676779412,True
ACN,4.386320508026055,1.835365556946331,0.7821015811042787,1245.2920038157883,179.02999877929688,1,-0.2776877992446365,-0.2776877992446365,False
INTU,4.424065874590551,2.1503783362055433,0.5630952755122439,1642.5126367350367,334.2099914550781,2,-0.3766404974907621,-0.18832024874538106,False
BKNG,3.4039959943046885,1.026169559778599,0.37119833138490216,1302.4812186240742,213.0500030517578,2,0.2477834599834137,0.12389172999170685,True
VZ,2.592984625291015,0.6935585528388322,0.4535811744179151,1252.7574620224623,47.16999816894531,2,0.22460957093751033,0.11230478546875516,True
WFC,2.1978530241184213,0.5806736354717499,0.39247148983859237,1277.85839338428,87.72000122070312,1,-0.1968595764451159,-0.1968595764451159,False
BA,2.8594942405799224,0.704633773947694,0.35991326514241306,1357.662935432783,234.42999267578125,6,0.5527805136180388,0.09213008560300646,True
