stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.1244,0.0169,0.208,-0.2328,0.098,374,0.2273,0.036,1.068,0.4946,374,9.0
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.5863,0.08,0.763,-0.1731,4.534,270,0.2815,0.227,1.547,0.4025,270,6.9
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 0.7}",0.0966,0.0133,0.169,-0.2427,0.076,440,0.2432,0.039,1.048,0.6058,440,10.6
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.5993,0.0815,0.672,-0.1456,4.634,356,0.2893,0.163,1.372,0.5473,356,6.9
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.8467,0.0918,0.693,-0.3374,0.664,583,0.2762,0.18,1.23,0.7453,583,10.4
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.0869,0.1305,0.968,-0.166,8.405,408,0.2941,0.2,1.535,0.6176,408,7.7
vcp_shape,"{""vcp.min_contractions"": 2, ""vcp.final_depth_max"": 0.1, ""vcp",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.7302,0.0816,0.587,-0.3596,0.572,670,0.2552,0.076,1.182,0.797,670,11.3
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",0.1927,0.0298,0.414,-0.1124,1.49,153,0.268,0.131,1.281,0.2354,153,4.3
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",0.1404,0.019,0.239,-0.1763,0.11,306,0.2484,0.087,1.096,0.4412,306,8.3
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.06, ""vc",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.06, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 0.7}",0.0326,0.0054,0.105,-0.1495,0.252,189,0.2328,0.04,1.042,0.2881,189,6.2
