score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,market_filter,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
-2.4704615771446155,1.0937461771490797,5.088350270886877,62,46.774193548387096,1.0438144988720437,0.018917731998232216,-7.12841550858739,0.39241733407651574,2.193548387096774,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,2,False,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.522659992741433,3.7420684945140836,18.499274483877493,58,39.6551724137931,1.2551501824524656,0.10525908596598907,-12.529456974511033,0.4523365791176917,5.603448275862069,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,True,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.547020619130338,1.0371685671794362,4.820282373232554,59,47.45762711864407,1.145214498956392,0.058249407491748055,-7.168378372619548,0.38404322264399426,2.2203389830508473,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,True,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.5864508463844804,0.7392300664635476,3.4614278847791224,56,41.07142857142857,1.0849253945828918,0.03754146182811365,-6.651361825696056,-0.40406463777486673,5.357142857142857,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,False,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.7599190829161078,3.247212564016233,15.910138215183323,61,39.34426229508197,1.2256114659804667,0.09451865907424702,-12.014263293864682,0.6404248569804757,5.557377049180328,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,True,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.767024106326656,3.0785851117795193,14.836790721913818,46,52.17391304347826,1.2892865370905902,0.11152145278750267,-7.691218436212351,1.1718250289617949,2.130434782608696,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,True,True,True,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.8824542136995674,0.6817535405941211,3.1484941736494187,60,48.333333333333336,1.0556918850998573,0.023000073392695407,-7.128415508587377,0.27723248164757164,2.183333333333333,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,2,False,True,False,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-2.995999099514969,0.5895745249728579,2.718325495564944,62,48.38709677419355,1.1481515771401483,0.05822709232727079,-7.171147248975654,0.24272959341688813,2.193548387096774,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,3,False,True,False,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.1238441625065336,0.7217650555996435,3.3356517524687934,52,48.07692307692308,1.1110225080608311,0.04488630147246512,-7.691218436212354,0.31342282698222,2.0576923076923075,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,2,False,True,True,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.183196130692682,0.22535888127290793,1.0454708612012364,65,41.53846153846154,1.0229785612719928,0.010109559202937077,-6.81711002393118,-0.4195996569495751,5.0,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,False,False,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
