symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,risk_pct,taken
DELL,2026-07-22 12:08:00-04:00,2026-07-22 12:26:00-04:00,445.465,444.35,-0.3103005296292182,18,stop,0.2503005296292182,True
PM,2026-07-22 12:25:00-04:00,2026-07-22 12:35:00-04:00,195.4108,194.731,-0.40788521860804133,10,stop,0.34788521860804134,True
TXN,2026-07-23 10:40:00-04:00,2026-07-23 10:40:00-04:00,284.47,283.77,-0.30606907470300626,0,stop,0.2460690747030063,True
GEV,2026-07-23 10:40:00-04:00,2026-07-23 10:42:00-04:00,1021.99,1018.69,-0.3829032665714452,2,stop,0.32290326657144525,True
SMCI,2026-07-23 12:37:00-04:00,2026-07-23 12:45:00-04:00,32.44,32.255,-0.6302864173457575,8,stop,0.5702864173457576,True
GEV,2026-07-23 13:03:00-04:00,2026-07-23 13:03:00-04:00,1029.23,1027.95,-0.18436671643270844,0,stop,0.12436671643270845,True
WMT,2026-07-23 13:08:00-04:00,2026-07-23 13:15:00-04:00,108.085,108.03,-0.11088220776949227,7,stop,0.05088220776949228,True
AMGN,2026-07-23 13:13:00-04:00,2026-07-23 13:13:00-04:00,368.11,367.8,-0.1442106449985832,0,stop,0.0842106449985832,True
AMGN,2026-07-23 14:03:00-04:00,2026-07-23 14:54:00-04:00,368.265,369.1801,0.18847331318633045,51,target,0.0828244377287768,True
BSX,2026-07-23 14:05:00-04:00,2026-07-23 14:09:00-04:00,43.285,43.23,-0.18706444605118588,4,stop,0.12706444605118591,True
NOW,2026-07-24 10:22:00-04:00,2026-07-24 10:23:00-04:00,96.81,96.425,-0.45769185107683147,1,stop,0.3976918510768315,True
RCL,2026-07-24 11:00:00-04:00,2026-07-24 11:00:00-04:00,291.17,290.58,-0.26263327842774997,0,stop,0.20263327842774995,True
NEM,2026-07-24 11:17:00-04:00,2026-07-24 12:30:00-04:00,94.76,94.42,-0.4188008598820483,73,stop,0.3588008598820483,True
CMCSA,2026-07-24 11:18:00-04:00,2026-07-24 11:18:00-04:00,22.475,22.43,-0.26022077074422206,0,stop,0.20022077074422207,True
DASH,2026-07-24 11:18:00-04:00,2026-07-24 11:47:00-04:00,173.94,173.13,-0.5256795678904641,28,stop,0.46567956789046416,True
RCL,2026-07-24 11:38:00-04:00,2026-07-24 11:43:00-04:00,299.86,298.07,-0.6569517424181082,5,stop,0.5969517424181081,True
DASH,2026-07-24 12:15:00-04:00,2026-07-24 12:15:00-04:00,173.62,173.33,-0.2270339082141604,0,stop,0.1670339082141604,True
NOW,2026-07-24 12:29:00-04:00,2026-07-24 12:30:00-04:00,97.8057,97.71,-0.15784588471572542,1,stop,0.09784588471572542,True
AMGN,2026-07-24 12:59:00-04:00,2026-07-24 13:01:00-04:00,377.5,377.17,-0.1474191587334413,2,stop,0.0874191587334413,True
HD,2026-07-24 13:32:00-04:00,2026-07-24 14:32:00-04:00,330.7289,330.44,-0.14735255240568776,60,stop,0.08735255240568778,True
DASH,2026-07-24 13:32:00-04:00,2026-07-24 13:37:00-04:00,173.835,173.66,-0.16067508738900352,5,stop,0.1006750873890035,True
NOW,2026-07-24 14:00:00-04:00,2026-07-24 14:03:00-04:00,97.81,97.63,-0.2440340011175884,3,stop,0.1840340011175884,True
TMUS,2026-07-24 14:04:00-04:00,2026-07-24 14:11:00-04:00,179.58,180.0601,0.207314804395659,7,target,0.089104934798553,True
CMCSA,2026-07-24 14:09:00-04:00,2026-07-24 14:10:00-04:00,22.3,22.25,-0.28421831655933155,1,stop,0.22421831655933155,True
VZ,2026-07-24 14:09:00-04:00,2026-07-24 15:06:00-04:00,45.765,45.99,0.43164407358463147,57,target,0.1638813578615438,True
CMCSA,2026-07-24 15:19:00-04:00,2026-07-24 15:29:00-04:00,22.43,22.35,-0.41666279835164427,10,stop,0.3566627983516443,True
MCD,2026-07-27 10:43:00-04:00,2026-07-27 10:45:00-04:00,271.01,270.73,-0.16332082418544772,2,stop,0.1033208241854477,True
ADBE,2026-07-27 12:28:00-04:00,2026-07-27 13:21:00-04:00,238.69,240.1597,0.5557288837556404,53,target,0.20524296125188016,True
SHOP,2026-07-27 12:29:00-04:00,2026-07-27 12:36:00-04:00,124.655,125.36,0.505557281510627,7,target,0.18851909383687565,True
UBER,2026-07-27 12:32:00-04:00,2026-07-27 12:52:00-04:00,67.97,67.81,-0.2953970748912348,20,stop,0.23539707489123482,True
CDNS,2026-07-27 12:43:00-04:00,2026-07-27 12:50:00-04:00,341.52,341.07,-0.19177066657622616,7,stop,0.1317706665762262,True
COST,2026-07-27 13:10:00-04:00,2026-07-27 13:29:00-04:00,950.42,949.51,-0.15574329194131226,19,stop,0.09574329194131224,True
SPGI,2026-07-27 13:19:00-04:00,2026-07-27 13:29:00-04:00,440.83,440.47,-0.1416633014788939,10,stop,0.0816633014788939,True
CMCSA,2026-07-27 13:20:00-04:00,2026-07-27 13:42:00-04:00,23.24,23.2,-0.23211901270040153,22,stop,0.1721190127004015,True
VZ,2026-07-27 13:24:00-04:00,2026-07-27 13:36:00-04:00,47.5399,47.47,-0.2070345026471211,12,stop,0.1470345026471211,True
KO,2026-07-27 14:20:00-04:00,2026-07-27 14:57:00-04:00,84.015,83.95,-0.13736495991217618,37,stop,0.07736495991217618,True
CVNA,2026-07-27 14:43:00-04:00,2026-07-27 15:04:00-04:00,63.815,63.7,-0.24021032696570202,21,stop,0.18021032696570202,True
SHOP,2026-07-27 14:44:00-04:00,2026-07-27 15:10:00-04:00,124.91,125.78,0.6365117338523076,26,target,0.23217057795076923,True
PFE,2026-07-28 10:17:00-04:00,2026-07-28 10:39:00-04:00,25.44,25.3737,-0.3206091977892201,22,stop,0.2606091977892201,True
BKNG,2026-07-28 10:23:00-04:00,2026-07-28 10:40:00-04:00,194.9,195.9035,0.45487773588715874,17,target,0.17162591196238622,True
