score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min
-53.00604107724739,-1.2701955271125387,-5.59761288317805,61,39.34426229508197,0.8312639571656235,-0.08227166783827866,-3.4716911002696937,-1.0402853695202485,6.344262295081967,15m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.19001408999716,-1.6783141698070825,-7.090626939522426,63,41.26984126984127,0.7819179482165557,-0.10616047556370899,-3.0233998403801605,-2.137751682211108,7.190476190476191,15m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.32927852951919,-1.9279133278988003,-8.398584978449863,64,54.6875,0.6812677662728023,-0.1209330825884061,-2.8027304032407856,-3.229096320440936,4.109375,15m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-53.355415745700455,-2.164871544113234,-9.282649980741454,14,28.571428571428573,0.3249355616256278,-0.6232685658944185,-2.38108840317445,-7.041285608569053,1.7142857142857142,30m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.355415745700455,-2.164871544113234,-9.282649980741454,14,28.571428571428573,0.3249355616256278,-0.6232685658944185,-2.38108840317445,-7.041285608569053,1.7142857142857142,30m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.38391470864285,-1.3664628155234282,-5.803341047221011,78,41.02564102564103,0.8546664293177964,-0.06906927140311651,-4.034903786238841,-1.2613945623778535,6.1923076923076925,15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.49541244866105,-2.1448405897230516,-8.991059283752689,67,56.71641791044776,0.6610426347983988,-0.12872264912565676,-2.7011437178759916,-4.0020883769942195,3.91044776119403,15m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-53.5997878856759,-2.2290689371067374,-9.659301189117286,42,30.952380952380953,0.648862560818067,-0.21300218864762815,-2.741437897138322,-3.7461237433211485,6.833333333333333,15m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.81522201442572,-2.4716350403194642,-10.541946683584246,14,35.714285714285715,0.333071079488646,-0.7121781743274783,-2.6871739482125125,-6.721221692135104,2.142857142857143,30m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-53.81522201442572,-2.4716350403194642,-10.541946683584246,14,35.714285714285715,0.333071079488646,-0.7121781743274783,-2.6871739482125125,-6.721221692135104,2.142857142857143,30m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
