symbol,entry_date,year,r,pnl,win,reason,hold,n_contractions,final_depth,first_depth,tighten_ratio,vdu_ratio,base_len_days,pivot_vs_top,wait_days,regime_on
ANF,2011-08-02,2011,-1.1719637183217022,-12343.019621418223,False,stop_gap,1,3,0.05378,0.19562,0.27492076474798083,0.8558,31,-0.035029121494468574,13,True
ANGI,2018-02-14,2018,0.2811063066910325,8033.434162394113,True,trail_ma,26,4,0.05938,0.17098,0.3472920809451398,0.9319,68,0.08313730277267162,4,True
AON,2014-05-21,2014,0.6902961122948541,7097.40203863852,True,trail_ma,40,3,0.02417,0.07584,0.31869725738396626,0.8767,33,0.02479284268868165,1,True
AORT,2024-06-27,2024,-0.0193619252793088,-38.74398976580896,False,stop,5,4,0.04841,0.10868,0.4454361428045639,0.8328,38,0.10365299074448164,17,True
AOS,2016-09-09,2016,-2.041682055291933,-19161.50744229673,False,stop_gap,1,4,0.02052,0.06541,0.3137134994649136,0.4279,41,0.09926148865066775,13,True
APD,2020-07-07,2020,2.239409338881396,21204.59907159549,True,trail_ma,54,6,0.0407,0.17785,0.228844531908912,0.6387,51,0.1528018259954611,25,True
APTV,2014-03-11,2014,-1.0389157243760838,-12536.014009522403,False,stop,3,3,0.0268,0.06733,0.3980395069062825,0.9846,30,0.06311894338907198,3,True
ARCB,2005-03-01,2005,-1.0156715009227508,-2599.215955249899,False,stop,14,4,0.06948,0.17009,0.40848962314069026,0.943,34,-0.09747174629625677,9,True
ARCC,2019-07-30,2019,-0.0737313476577682,-591.5900686505715,False,stop,2,4,0.01312,0.03763,0.34865798564974754,0.6074,60,0.036315464185153745,3,True
ARCO,2016-07-13,2016,-0.0168713009227502,-149.40307839173153,False,stop,2,5,0.05455,0.20858,0.26153034806788766,0.6957,46,-0.03508801281212248,2,True
ARCO,2023-11-15,2023,3.443626628357956,164164.33416842506,True,trail_ma,55,4,0.0544,0.12408,0.4384268214055448,0.6715,43,-0.032175094531860515,1,True
ARE,2019-10-04,2019,-0.2515895840780407,-3745.8002483794153,False,trail_ma,25,6,0.02641,0.10468,0.25229270156667943,0.8075,63,0.008629193140274882,15,True
ARI,2015-12-17,2015,-0.5112481787517312,-7110.574898602991,False,trail_ma,15,4,0.02266,0.07817,0.2898810285275681,0.9942,37,0.029502635617048245,24,True
ARLP,2021-04-23,2021,-0.6397187964975273,-5179.018951145305,False,trail_ma,4,3,0.07285,0.18563,0.3924473414857512,0.4489,43,-0.09580820517016442,5,True
ARR,2012-01-10,2012,0.1570279101834229,41.83708555426145,True,trail_ma,42,4,0.03249,0.22747,0.14283202180507318,0.4716,41,0.045147393482076525,30,True
ARR,2016-11-07,2016,-1.036534434745534,-1461.6285853319127,False,stop,6,3,0.0287,0.06383,0.4496318345605515,0.8698,42,0.018840359011453423,1,True
ARW,2005-09-09,2005,-0.8395081126694867,-203.41279754630503,False,trail_ma,22,3,0.03671,0.07668,0.4787428273343766,0.8398,55,0.05882354119716182,4,True
ASGI,2026-01-02,2026,-1.0262777912897287,-10270.456674411002,False,stop,2,3,0.03115,0.06301,0.4943659736549754,0.8347,47,0.05221176756344126,7,True
ASH,2018-02-07,2018,-0.0470714022788833,-586.3920246333465,False,stop,1,3,0.02237,0.075,0.2982666666666667,0.7497,33,0.0348909188200599,33,True
ASML,2021-07-21,2021,1.6554257645603552,90457.56438410644,True,trail_ma,49,4,0.04066,0.08578,0.47400326416414085,0.8282,30,0.021358624609749688,30,True
ASR,2007-05-15,2007,-0.0168713009227506,-85.75965205925014,False,stop,50,5,0.03098,0.15702,0.1972997070436887,0.9993,47,0.007184011603617035,9,True
ASRT,2011-03-29,2011,-0.0226237435999293,-238.2778799027999,False,stop,4,3,0.05,0.23173,0.21576835109826092,0.4984,35,-0.09615384615384615,1,True
ATGE,2014-10-01,2014,-0.9082003930350032,-16510.279389099032,False,trail_ma,8,3,0.03679,0.1096,0.3356751824817518,0.5358,38,-0.025172612627423208,20,True
ATKR,2021-11-18,2021,-0.0183942404905858,-1487.576996971531,False,stop,5,3,0.0621,0.18509,0.3355124534010481,0.7105,35,0.046443369924844546,3,True
ATO,2025-01-21,2025,-0.4083522654959975,-20764.12856094615,False,trail_ma,2,3,0.03117,0.08831,0.35296115955157964,0.7449,28,-0.07933175834674155,6,True
ATR,2005-03-31,2005,-0.462870098085928,-1051.5983571639936,False,trail_ma,11,3,0.04837,0.12917,0.3744677556708214,0.9032,31,-0.07432536003912438,29,True
ATR,2007-10-18,2007,-0.0215917699592027,-110.7844324241576,False,stop,22,4,0.04288,0.11491,0.3731616047341398,0.6753,47,0.001999380934763151,2,True
ATR,2024-10-25,2024,-0.2014636327773312,-11713.34840812853,False,trail_ma,36,6,0.03039,0.07063,0.4302704233328614,0.9735,74,0.09327366041269358,13,True
ATRC,2023-07-17,2023,-0.0168713009227512,-1197.5722059833738,False,stop,16,4,0.06211,0.14179,0.4380421750476056,0.859,34,-0.0025564849030256243,4,True
AVA,2011-06-30,2011,-0.8017850208496731,-6874.352870447419,False,trail_ma,23,6,0.02853,0.06245,0.4568454763811049,0.9674,92,0.0902096512291739,2,True
AVB,2006-06-30,2006,2.2530188835121554,6818.456769634795,True,trail_ma,89,5,0.03759,0.09056,0.41508392226148405,0.8889,60,-0.01889011332715851,2,True
AVB,2021-11-05,2021,-0.0326457706381472,-1665.420781946163,False,stop,8,3,0.02859,0.07183,0.3980231101211193,0.9466,34,0.009468610109434561,10,True
AVB,2022-03-29,2022,-0.81343694025236,-59166.42575688087,False,trail_ma,21,4,0.03952,0.08079,0.48916945166481,0.6638,44,-0.023794447403662655,7,True
AVGO,2023-10-12,2023,-0.4901956730658899,-18654.07698269149,False,trail_ma,10,5,0.04162,0.11799,0.3527417577760827,0.7476,47,-0.07818963453029282,4,True
AVTR,2021-07-30,2021,-0.0180957020525598,-1023.676898011358,False,stop,51,4,0.04021,0.12974,0.30992754740249734,0.9025,51,0.06825535687731299,13,True
AVY,2016-05-03,2016,-0.031206921864141,-231.78314760156644,False,stop,12,3,0.02691,0.0904,0.2976769911504425,0.8439,50,0.10938615776835303,12,True
AWK,2011-11-09,2011,-0.4151237467895879,-4455.621540269161,False,trail_ma,11,3,0.06333,0.14827,0.42712618870978614,0.9141,39,0.014754039004037045,39,True
